question,answer
Learn how to use and navigate in the Intelligence Package part of the Revenue Grid Knowledge Base," Intelligence Package: Introduction           Revenue Grid Intelligence Package is the revenue intelligence product offered by Revenue Grid.  It enables managers and sales representatives to detect and address revenue leaks in their pipelines, optimize sales processes, and boost revenue generation performance.  Intelligence Package part of the Knowledge Base has the following sections:   Get started  includes the initial first steps when you start using sequences in Revenue Grid.         Opportunities  section contains practical use guides on managing Opportunities in Revenue Grid.        Accounts  section contains practical advice on handling Accounts, insights and best practices.        Signals, action items & notes  describes how to create, manage, and act upon smart Revenue Signals, action items, and different types of notes.        Reporting & Forecasting  contains tips on enhancing your sales forecasting.        Team Performance  section contains information about coaching based on specific data and gaining team performance insights.        Conversational intelligence  contains tips on benefiting from meeting recordings and insights.        Admin guide  contains detailed Administrator's guides on product deployment and fine-tuning, as well as user management.        Release Notes:  information on the latest product updates – new features, improvements, notable bugfixes, etc.          NB: for readability considerations, in Knowledge Base articles Revenue Grid is referred to as RG. Copyright © 2005-2023 Revenue Grid. All Rights Reserved Worldwide. All other company and product names in the Knowledge Base are trademarks or registered trademarks of their respective holders."
Learn how to achieve the best results in your sales process with automated RG sequences for sales engagement," Revenue Grid Sequences: Introduction           An essential communication automation feature offered by Revenue Grid (RG) is managing sequences in efficient conjunction with registering all activities and status changes in Salesforce. A sequence is a series of communication steps (actions) a Revenue Grid end user performs to engage and nurture Leads and Contacts retrieved from their Salesforce, delivering campaign information and collecting responses via different channels. The sequence's steps follow a specific flow configured by RG users; both inbound and outbound email communication within a Sequence is automatically registered in Salesforce. Several consequential Sequences can be used in communication with the same group of prospects. For example, if an initial engagement sequence is successful with a prospect, you can switch this prospect to a different sequence for further nurturing.   Another related application of email Sequences is to follow up on product or service sales to measure user satisfaction or send out other kinds of surveys or product updates.  Engagement Package part of the Knowledge Base has the following sections:   Get started  includes initial configuration and recommended first steps when you start using sequences in Revenue Grid. Here you can also find some sample sequences you can experiment with.        Using sequences  section contains practical use guides and articles providing in-detail descriptions of various nuances of product functioning.        Sequences in Action Center  section contains practical advice on handling sequences and recipients' interactions with the sequences' steps (e.g., replies, auto-replies, etc.), making call, sending SMS, and reviewing notifications.        Sequences in Sidebar  section contains tips on handling sequences in RG Email Sidebar.        Team performance  includes a description of the reports on your team's performance and productivity in terms of sequences.        Personal settings (user)  include personal settings available to users having corresponding permissions        Admin guide  contains detailed Administrator's guides on product deployment and fine-tuning, as well as user management.        Troubleshooting  section contains step-by-step solutions to known issues which may occur with RG sequences.        Release Notes:  information on the latest product updates – new features, improvements, notable bugfixes, etc.        FAQs  section contains popular user inquiries about sequences in Revenue Grid.      NB: for readability considerations, in Knowledge Base articles Revenue Grid is referred to as RG. Copyright © 2005-2023 Revenue Grid. All Rights Reserved Worldwide. All other company and product names in the Knowledge Base are trademarks or registered trademarks of their respective holders."
"Complete guide to users and admins’ access rights to sequences, templates and prospects"," User roles and permissions in Revenue Grid        What regular users can do vs what admins can doA regular user can: Sequences  • Create Sequences. •  Clone   shared  sequences created by other users. • View sequences that have ever included recipients the user owns in Salesforce. • View and edit own private or shared sequences.   Recipients  • Add own (on Salesforce level) recipients to private or shared sequences. • Add any accessible (on Salesforce level) recipients to private sequences. • Can view  replies  from recipients and run  actions  on recipients if senders is the user. • Can view the complete  prospect profile  of own(on Salesforce level) recipients, or limited  prospect profile  of recipients who have ever received an email from the user. The limitation in such case is, the user will see only those events in the History Feed, which are related to the user, other events will be hidden.   An admin can: Sequences  • View/pause/activate other user's private sequences. • View/pause/activate/edit other user's shared sequences.   Recipients  • Can view  prospect profile  of all recipients.  Templates  • View/pause/activate other user's private templates. • View/pause/activate/edit other user's shared templates.   A delegatee can: Can do everything on behalf of the delegator user.  "
Learn how to make the best use of the insights on the Account details page," Comprehensive Account insights for the best decisions        On this tab you can find a comprehensive set of data points that help you to dig into communication details and progress. All data on the tab is 100% live data gathered and processed from emails, calendars and Salesforce. On this all-inclusive pad, you get:    Emails and Meetings   Relationship Intelligence   Engagement highlights   Related Signals   "
Complete guide on affective use of the statistical data on the RG Accounts tab," Account-based selling 100% transparent and intuitive        On the Accounts tab you can oversee and analyze communication developments per each account. It blends in data gathered from Salesforce, email clients and calendars of all who are involved into sales progress. All information shown is 100% in real-time.    How much total negotiations has taken place   The Engagement column shows a number of activities which has accumulated.    Meetings   Inbound emails   Outbound emails       By clicking on each, a pop-up will appear on the screen with details of each record made to the total number.      You can drill down all the way to the core of the record. By clicking on a record you are able to read the actual context of emails, or meetings details, which are being pulled directly from email client and calendars, no data is stored anywhere else.   All who has been involved   All engaged people. Number of representatives participated in meetings or have been involved into the correspondence from your and account's sides.    What was the Last touch   This column is filled automatically and indicates what was the most recent touch with the account. Our sentiment analysis will mark every email on the spectrum   from very negative to very positive. By clicking on the value, you'll be able to see the context of an email or meeting details for the maximum insights.    The next step    The Next step is being automatically scrapped from calendars, if it's a meeting, or from Salesforce when Sales reps fill up a corresponding field in Salesforce, and placed into the  What's next  column.     Uncover more value in the Extended view mode   Switch the view of the whole tab between regular and extended views.    Find the account you are looking for   You can filter down the accounts by categories. These categories include accounts stages, statuses, Salesforce fields, roles hierarchy and many more.   Add additional fields   You can modify the main table on the Accounts tab by adding additional fields from your CRM. In order to do that, click the ""More column"" icon. Pick a new column you want to appear in the table. Choose among all fields stored in CRM.   "
The full list of types of actions you can find in the Action required columns on the Recipient's tab and on the Audience page," Details of each and every possible  Action required            Here is the full list of types of actions you can find in the  Action required  columns on the  Sequence name →Recipient's tab and on the Audience page. Items are clickable and once clicked on, you will be redirected to corresponding item on the  Action Center's To-do tab  to take an action.   •  No action  - Take a brake  •  Review Response  - When a contact replies to one of your Steps, then Sequence gets paused until you to process the reply in the Action Center. Just click on the label if clickable and it will take you to the according item •  Review email Draft  - This means a contact is on a Step which requires manual review in the Action Center before sending out your email •  Make a call  - A contact is on a Phone Call type of a Step. Proceed to the Action Center to log a call •  Send text  - A contact is on a SMS type of a Step. Proceed to the Action Center to log a text message •  Review owner change  - This comes up when a contact's owner changes in Salesforce •  Fix merge field issue  - When you use a field to merge it to your Step message from Salesforce, but that field is blank in Salesforce. You may fix it either by removing Merge Field from your message, or by filling out required field in Salesforce •  Digest  response to a colleague - With certain settings in place, a Sequence prevents outreach to a contact, whose colleague's has already replied to any of Steps of the Sequence •  Review Invite Response  - it appears when a recipient sends you a meeting invite (both from Exchange or Gmail clients), or responses to your meeting invite sent from your email. All sequences a prospect is engaged into get paused for the recipient until resumed manually    Note  Both types of  Review Invite Response  type of notifications appear in the Action Center's  Notifications tab  with a respective icon    if a meeting invite has been sent to you;   if a recipient accepts or rejects a meeting invite which you had sent;     •  Perform other action  - This is related to Miscellaneous type of a Step • Digest another reply - The value means that a prospect replied to one or several Sequences of your colleague's, and the colleague is having ""Reply received email"" type of a required action for the prospect •  Review Notification  - Means either you received an Auto-reply or a standalone email. Those appear on the Notifications tab in the Action Center   •  Review conversion  - means that a lead has been converted to a contact on SFDC side, and you should process To-Do item on the  Action Center  so the sequence proceeds for the contact        •  Review send error       Book a free demo  "
Revenue Grid activity tracker explained: metadata processing for enhancing your sales performance," Invisible activity tracker plays a crucial, cross-functional role under the hood       Real time sales guidance mechanisms of Revenue Grid are backed up by metadata which is being collected, parsed, indexed and stored on the secured servers. Metadata includes details of email correspondence and calendar items company wide.  Once such activity is detected, it gets parsed, categorized and matched to information stored in Salesforce. Such implementation is carried out via  Gmail API ,  Calendar API ,  Drive API  for Gmail inboxes; and via  Exchange Web Services (EWS)  for MS Exchange and Office 365 inboxes. Values in Revenue Grid interface derived from Activity Tracker While reviewing  Pipeline Visibility  and  All Accounts dashboard , the count of sent/received emails, conducted meetings, people involved total, as well as the most recent touch details are possible due to the Activity Tracker running on the background.   People Intelligence charts on the  Opportunities 360  and  Account details  tabs, which show who from your company have been in touch with each of representatives of an opportunity is possible because of the Activity Tracker.    Activity trend charts on the  Opportunities 360  and  Account details  tabs, which show all meetings and email scattered on a timeline is being drawn based on records captured by the Activity Tracker.    Engagement highlight blocks on the  Opportunities 360  and  Account details  tabs, which consolidate pieces of information such as the first and the last touches, certain types of ""What's Next"" values are also being drawn based on records captured by the Activity Tracker.   Many  Signals  are being triggered based on conditions captured by the Activity Tracker. For example a signal notifying that a meeting follow up has been sent out by a Sales Rep; or Activity Summary Signals, which gather and send summary of executed actions on regular basis.    Number of sent/received emails and conducted meetings per employee on the  Team tab  gets reflected based on records captured by the the Activity Tracker.     Streaming data vs Activity Tracking  While ability to see an indication that there has been a certain number of emails is possible due to the Activity Tracking component. Whereas being able to drill deeper and actually read context of an email with just a click, gets carried out by streaming the context right from employee's inbox. No data is stored anywhere else.  "
Learn how to use RG Activity Trends tab to facilitate the transparent and effective communication between your sales team with opportunities and accounts," Activity trends of a single opportunity or account         Full transparency of talks for the best guiding All emails and meetings of an Opportunity or an Account in one place. On this chart, you can find all communication scattered on the time line. Data plots correspond to one of three types of activity: a meeting, an inbound, and an outbound email. Besides the data plots, important changes such as Close Date Change, Amount Change, First and Last Touches also get reflected on the chart for easier pipeline analytics.   Drill down to the point  By clicking on any given data plot, you can see the actual communication activities in the pop-up, from which you can read any given email or see details of a meeting.   "
Complete guide to Revenue Grid Platform settings: all features explained," Admin level settings[admin level article]           Admin settings page is used to view and adjust the company-wide parameters for users in Revenue Grid (RG).  To access Revenue Grid Settings, click the Settings icon in the top right corner of the RG interface.  Now more detailed about every of the tabs.    Important  These tabs are editable only by users with Admin rights and changes get applied to all RG users company wide.     Control what to sync with Salesforce   Go to Settings → Platform settings → Sequences → General.   Control automatic synchronization of all activities generated by sequences with Salesforce.   Allow creating Salesforce campaigns for each sequence.   Enable automatic import of recipients into Revenue Grid from Salesforce email send out widget.    Allow upload and export from/to CSV   Go to Settings → Platform settings →  Sequences  →  General .   These check-boxes enable option to upload and download prospects from/to a CSV file on the  Recipients tab  of a Sequence, as well as on the  Audience tab .    Configure default contry code and time zone for sendingGo to Settings → Platform settings →  Sequences  →  General .In the Sending section, specify the default country code and time zone which will be used for sending out steps for prospects with no country and time zone specified. Default country code - the country whose calendar that must be used when planning Sequence steps for recipients with no specified country to schedule steps only on business days.Default time zone - the time zone that must be used when planning Sequence steps for recipients with no specified time zone.   Set up auto-dismissal of items in the Action Center You can set up auto-dismissal of notifications about auto-replies, calls and misc. to-do items in the Action Center.   Auto-dismissal affects all existing and future items for which auto-dismissal is enabled. After enabling auto-dismissal for specific items, all active sequences paused due to these item types will continue with the next steps for all relevant users.    You must specify the delay for auto-dismissing to ensure that your colleagues have enough time to review and process the notifications and to-do items in their Action. The delay can vary from  1  to  999  days. !!! warning ""Important""    Enabling auto-dismissal will affect all users.         Before enabling auto-dismissal, ask your colleagues that work with sequences to review their Action Center notifications. This will prevent renewing sequences that were stopped for a long time, outdated or irrelevant sequences   Set company-wide defaults for sequencesGo to Settings → Platform settings → Sequences → Defaults.  Here, you can configure default settings and auto-replies and OOTO handling settings for all newly created sequences. All new sequences will inherit the default settings unless the sequence owner changes these settings for a specific sequence on the  Sequence Settings  page. Settings on the sequence level override the default organization-wide settings specified by admins.  Map sequence stage change on person status  is used to update a recipient's  Person Status  once  Sequence Stage  changes.  Don't pause sequence upon response from the prospect  controls whether a Sequence pauses for the recipient when one replies. Normally, when a Sequence sends an email and a recipient replies to it, then the Sequence won't proceed to the next step for that recipient until you process his/her reply manually on the  Action Center .  Pause sequence and create a To-Do item on reply from the same company   pauses all upcoming outreaches to all recipients belonging to the same company once a reply from at least one person from that company is received. This switch button can be enabled only if Don't pause sequence upon response from the prospect is disabled.  Schedule newly added steps for the previously unresponsive recipients  is used to start reaching out, with additionally added steps, to those of prospects who had been  Unresponsive , and the prospects' status will go back to  Approaching .   Auto-replies and OOTO processing rules Set the rule for handling of  Out of the Office  (OOTO) and other automatic responses: Place all auto-replies to  Notifications  for manual processing - enable if users must process every auto-reply manually, e.g. to reschedule a sequence step     Ignore auto-replies and continue sequence - enable if sequences must proceed disregarding the auto-replies Ignore auto-replies and add additional delay {Days} before next step - enable if sequences must proceed disregarding the auto-replies but with automatic increase of the interval between steps by a set number of days   Company-wide default signatures, unsubscribe and BookMe text      Go to Setting → Platform settings → Sequences  →  Merge fields  to change company-wide default signatures, unsubscribe and BookMe text that are being used in Sequence emails.  Here Admins can set the default Primary and Secondary signatures which will be applied company-wide. By enabling/disabling the switch button below, the Admins can allow the end users to override the default signatures and modify the signatures.     On this page, Admins can also change the auto-inserting rules for default signatures: do not insert them or select a specific inserting pattern.    By clicking the Force reset users' signature settings button, you will reset all users’ signatures the default signature.    Set company-wide unsubscribe link    On the Unsubscribe subtab, Admins set company-wide standard for unsubscribe text.By enabling/disabling the switch button, the Admins can allow the end users to override the default unsubscribe text and modify it. Also, here they can configure auto-insertion rule for unsubscribe text.    Set company-wide BookMe link    On the BookMe subtab, Admins set company-wide standard for BookMe text that is inserted by the end users in their Sequence emails. By enabling/disabling the switch button, the Admins can allow the end users to override the default BookMe text and modify it.     Status updates   Go to Setting → Platform Settings → Sequences →  Status updates  subtab.Upload a CSV file to synchronize Opt-In / Opt-Out statuses.     Select SMS and call providerGo to Setting → Platform Settings → Sequences →  SMS & Calls  subtab. Available SMS & calls providers:   Twilio . Detailed Twilio setup guide in  this article .  Ring Central   Aircall . Detailed Aircall setup guide in  this article .  SMS 360   When this Admin level setting is in place, every user will be able to choose a single number from a pool of available to them numbers on their Settings → Personal settings → Sequences → General → Phone settings. Or admin can set phone settings for each user manually.   Control sending capacity and other limitsGo to Settings → Platform Settings → Sequences →  Limits . Enforced limits to the number of [RE Sequence emails](../Create-new-sequence/email_type_of_a_step) sent by RG users. Number of sequence email/sms touches an RG user can send per day  To prevent SPAM generation, most email services impose a limitation on the number of emails a user (or automated emailing software) can send through a single email account per specific period of time. The applied limit is 1 email sent per 1 minute. When Revenue Grid sends out emails, both custom written by a user and automated ones, it respects this limitation, observing the one minute minimum interval between sending emails. The recommended (default) value of this setting is 500 emails; this value approximates the maximum number of emails that can be sent over a standard working day's span with a one minute interval. It is the emails quantity ""bandwidth"" shared by all email sequences you run in RG.   When the limit is reached, all remaining automated emails have to be postponed to the following day's sending span defined by the Sequence's Schedule, regardless of the step's actual timeline. Therefore, please consider this standard limit of 500 emails/day per RG user when planning your emailing campaigns. The maximum value that can be set for this parameter is 1000, that is approximately 17 hours of automated emailing per 24 hours. If you do  not  set a limited daily Schedule for the Sequence (for example to imitate emails sending by a real person)  that is emails sending will be allowed for 24 hours, this increased limit is easily attainable, since the automated emails are sent out by your email server.    Important  In a realistic common case scenario a single RG user can send out around 100 emails per working day; this number is defined by his/her capability to process the recipient's responses to these emails. However, a informative mass email campaign that requires no specific response can make use from the maximum emailing ""bandwidth"".    Please note that there is also another factor that defines individual emails dispatching patterns, the Schedule idle parameter  set for Sequence steps   Number of sequence call, misc and signal steps scheduled per day Set the limit to number of automatic or manual steps of these types that can be scheduled per user per day.  Sequence touches limit per email domain per day Set the limit of touches per specific domain to avoid overwhelming a certain company with your outreaches.  Sequence touches limit per prospect per day ​The number of RG sequence emails allowed to be sent to a prospect per 24 hours. This parameter is set depending on the essence of the campaign and the target auditory. Normally the maximum number of such emails should not exceed 5, not to get a prospect annoyed. Note that this number does not include extra ""custom"" emails message composed by a RG user, for example a reaction to a prospect's reply or a follow-up clarifying a previously sent email. This parameter's default value is 5 and the maximum value is 10.  Sequence touches limit per prospect per week This parameter is similar to the above one, only it sets the RG sequence emails limit imposed over a period of one week. This parameter's default value is 10 and the maximum value is 20.  Active sequences per prospect How many active sequences a user can have at the same time.     Customize status mapping to SalesforceGo to Setting →  Sequences under Platform Settings  →  Status mapping  subtab. On this tab, Admins can  map Prospect statuses  to any value of any field in Salesforce for seamless mirroring, as well as  create additional Prospect statuses  tailored for any possible business need. Updates on this tab will get applied to all users in an Organization. By default, you get these Person statuses mapped to following values of the selected Salesforce fields (see the picture below).    Manage sending schedules  Go to Settings →  Sequences under Platform Settings  →  Schedules  subtab. On this tab you can create and manage email send-out schedules which you use in [RE Sequence](../Sequences/).    A schedule is a set of specific days of the week and daily time intervals (set in the prospect's Time zone retrieved from Salesforce) used in RG Sequences. Automated emails sent by Revenue Grid will only be dispatched on these days and within these time intervals. If you wish to exclude automated emails sending on the dates which are public holidays in the USA, you need to select the checkbox  Exclude federal US Holidays  in the schedule creation/editing dialog.  The schedules you select for your [sequence steps](../Sequences/) are overridden by [wait intervals set for individual steps](../Create-new-sequence/email_type_of_a_step).For example, if you create a sequence consisting of steps scheduled for every other day of the week except weekends (that is 3 sequence emails per business week) and set the wait interval between the steps to two days, the steps will be performed with a two day long interval (that is 2 sequence emails per business week). At the same, if the schedule implies sending one email per week, a two day long wait interval between steps will be always observed, not affecting the sending schedule.   Manage signals   Go to Settings →  Signals  subtab. This setting is available to Managers only. Here you can select which signals to run company-wide. Once a signal is disabled, already generated signals of that type will not disappear from the interface until resolved.    Manage all users   Go to Settings →  Users  subtab. On this tab, Admins can see company-wide Revenue Grid users, their: • Names • Emails • Who are their delegates (if any) • What is their  Dial-out and Texting  phone numbers (if any) to perform  SMS  and  Phone call  types of steps  • and Role (Admin or a regular User)     By clicking on a user, Admins can see their  Account tab , where they can set up delegates, select SMS and Voice numbers, grant admin rights, and set up Primary signature.   "
Set up AirCall for making calls from Revenue Grid<," How to set up AirCall voice calls for Revenue Grid         This article describes how to connect  AirCall  to Revenue Grid for making voice calls from RG Action Center or Revenue Grid Dial widget in Salesforce.  The AirCall setup for Revenue Grid consists of the following stages: 1. [Create an AirCall account](1_create_an_aircall_account)2. [Create a phone number](2_create_a_phone_number)3. [Connect AirCall to Revenue Grid](3_connect_aircall_to_rg)4. [Assign numbers to individual users in Revenue Grid](4_assign_numbers_to_individual_users_in_revenue_grid)5. [Using AirCall integration](5_using_aircall_integration_in_rg)   A prerequisite for using the AirCall integration is to have an active account and phone numbers in AirCall. Follow the steps described below to set up and configure the basic AirCall account. !!! tip ""Tip""      If you already have your account configured and phone numbers created, skip sections 1 and 2, and proceed with the next one.      1. Create an AirCall account  Go to  https://aircall.io/  and create an account.  You can learn more about setting it up in  this AirCall onboarding article .     2. Create a phone number Follow the steps described in  this article  or in our guide below to create your first phone number in AirCall. 2.1.  Log in  to the AirCall Dashboard 2.2. Click Create or port number in the upper right-hand corner of the Number overview page   2.3. Select Create a number from the drop-down list 2.4. Next, select the number type: a Classic Number or an IVR Number 2.5. Specify the details:  Location  Type: toll-free or local number  Area code  Number's name  Assign a team or a user to the number (optional)   2.6. Click Create number       3. Connect AirCall to RG  The steps described below are performed by the admin. 3.1.  Log in  to the AirCall Dashboard 3.2. In the left-hand-side navigation menu, go to Integrations & API > API keys  3.3. Click Generate on API key  3.4. In the Generate API key dialog, copy API ID and API Token values and save them in a text editor for further use.   !!! warning ""Important""        Close the dialog only after you have copied the API ID and API Token values. If you close the dialog without copying and saving both values in a text editor, you will need to generate new API key as described in steps 3.3-3.4.  3.5. [Log in](https://revenuegrid.com/log-in/) to Revenue Grid  3.6. Click on your profile photo in the upper-right-side corner of the interface and go to Settings    3.7. Next click on Sequences under Platform settings 3.8. Go to SMS & calls   3.9. Select AirCall on the list of available providers 3.10. Insert the values copied in the step 3.4 in the corresponding boxes 3.11. Click Save at the bottom of the page to enforce the changes         4. Assign numbers to individual users in Revenue Grid This step can be performed by admins for individual users or by very individual users who will be using AirCall in Revenue Grid.  An extra step for admins: Under Administration, click Users, find the necessary user on the list and proceed with step 4.4.4.1.  Log in  to Revenue Grid 4.2. Click on your profile photo in the upper-right-side corner of the interface 4.3. Go to Settings   4.4. Click on Sequences under Personal settings 4.5. Go to the General tab  4.6. In the Phone settings section, select the necessary Communication user and Voice number from the drop-down lists.   The Communication user and Voice number lists are based on the information about added users and phone numbers retrieved from AirCall. You can learn more about adding users in AirCall dashboard in  this article  and how to configure calls distribution and assigning users to phone numbers in  this article . !!! warning ""Important""      One phone number must be assigned to one communication user in Revenue Grid. Assignment of one voice number to multiple users is not possible      5. Using AirCall integration in RG After selecting Communication user and Voice number, Revenue Grid will use the corresponding number for making voice calls from the Action Center or from the Dial out widget in your Salesforce interface. Due to AirCall limitation, the integration in Revenue Grid supports only making calls while sending SMS is not available.     Making calls with AirCall integration When recipients reach a phone call type of step, you will see a  corresponding notification on the To-dos tab  in your Action Center. The cell phone number of the recipient is retrieved from Salesforce. If the phone number field is blank, you can type in the number. Note that manually typed in numbers won't be saved to Salesforce. A prerequisite for  making calls from the Action Center  is to have the AirCall app opened and logged in with the user that is specified in the Communication user field in Revenue Grid. It can be a  desktop or mobile app , or Salesforce integration. After you click the Make a call button in the Action Center, the AirCall app will start dialing and the phone call will take place in the AirCall app.  !!! warning ""Important""        To make a call, when clicking the Make a call button in the Action Center in Revenue Grid, you must also have the AirCall app opened and logged in with the user that is specified in the Communication user field in Revenue Grid. If the app is not opened and logged in, you will not be able to make calls. "
